ko_id	CR18_ER180415_F	CR18_ER180415_S	CR18_LE180416_F	CR18_LE180416_S	CR18_XF180416_F	CR18_XF180416_S	CR18_LW180405_F	CR18_LW180405_S
K00001	0.0002053886513434	0.0002554735201696	0.0002405892586149	0.0002705902249281	0.0002881124791118	0.0001840490797546	0.0	0.0001583092571338
K00002	0.0	0.0	0.0	0.0	0.0	3.067484662576687e-05	0.0	0.0
K00003	0.0006721810407603	0.000689778504458	0.0007587815079394	0.0009470657872484	0.0008835449359429	0.0005828220858895	0.0006986899563318	0.0004353504571179
K00004	0.0002427320424967	0.0001021894080678	9.253433023651774e-05	0.000101471334348	0.0001152449916447	0.0001533742331288	0.0001746724890829	0.0001978865714172
K00005	1.867169557667532e-05	2.554735201696344e-05	3.70137320946071e-05	0.0	7.68299944298254e-05	0.0	0.0	0.0
K00007	1.867169557667532e-05	2.554735201696344e-05	1.850686604730355e-05	3.3823778116015554e-05	1.920749860745636e-05	3.067484662576687e-05	0.0	3.957731428345273e-05
K00008	0.0002053886513434	0.0001788314641187	0.0001110411962838	0.000135295112464	0.0001344524902521	0.0001840490797546	0.0	0.0001978865714172
K00009	1.867169557667532e-05	2.554735201696344e-05	3.70137320946071e-05	0.0	5.7622495822369054e-05	0.0	0.0	0.0
K00010	0.0003547622159568	0.0003321155762205	0.0002220823925676	0.0004058853373921	0.0002689049805043	0.0002453987730061	0.0	0.0001978865714172
K00012	0.0008402263009503	0.0009963467286615	0.000795795240034	0.0006764755623203	0.0007682999442982	0.0007975460122699	0.0015720524017467	0.0007519689713856
K00013	0.0005974942584536	0.0005364943923562	0.0007402746418921	0.0006426517842042	0.000633847454046	0.0006134969325153	0.0010480349344978	0.0005145050856848
K00014	0.0003547622159568	0.0003065682242035	0.0002776029907095	0.0004735328936242	0.0003841499721491	0.0001840490797546	0.0	0.0002374638857007
K00015	0.0003360905203801	0.0002043788161357	0.0002776029907095	0.0002367664468121	0.0002881124791118	0.0003374233128834	0.0005240174672489	0.0001978865714172
K00016	0.00011203017346	7.664205605089033e-05	9.253433023651774e-05	3.3823778116015554e-05	9.603749303728177e-05	6.134969325153375e-05	0.0	0.0001583092571338
K00018	9.335847788337658e-05	0.0001532841121017	0.0001110411962838	0.00016911889058	1.920749860745636e-05	0.000122699386503	0.0010480349344978	0.0001978865714172
K00019	0.0005041357805702	0.0004853996883223	0.0005366991153718	0.0006764755623203	0.0004993949637938	0.0006134969325153	0.0003493449781659	0.0002770411999841
K00020	0.0005974942584536	0.0005620417443731	0.0003331235888514	0.0006088280060882	0.0004417724679714	0.0003680981595092	0.0003493449781659	0.0005145050856848
K00021	0.0	5.109470403392688e-05	7.40274641892142e-05	0.000101471334348	5.7622495822369054e-05	6.134969325153375e-05	0.0001746724890829	7.915462856690546e-05
K00022	0.0	0.0	3.70137320946071e-05	3.3823778116015554e-05	1.920749860745636e-05	0.0	0.0	3.957731428345273e-05
K00023	0.0003734339115335	0.0003832102802544	0.0003331235888514	0.0005073566717402	0.000211282484682	0.0003680981595092	0.0003493449781659	0.0003957731428345
K00024	0.0005414791717235	0.0005620417443731	0.0006662471777029	0.0007441231185523	0.0004033574707565	0.0006134969325153	0.0005240174672489	0.0004749277714014
K00027	0.0002800754336501	0.0002554735201696	0.0005181922493244	0.0003044140030441	0.0004033574707565	0.0003987730061349	0.0001746724890829	0.000356195828551
K00029	0.0008215546053737	0.0009452520246276	0.0008883295702705	0.0010823608997124	0.0007298849470833	0.0007361963190184	0.0010480349344978	0.0005936597142517
K00030	0.0002240603469201	0.0002810208721865	0.0001665617944257	0.0002367664468121	0.0001344524902521	0.0003680981595092	0.0003493449781659	0.0004353504571179
K00031	0.0010642866478704	0.0012007255447972	0.0008328089721286	0.0011500084559445	0.0007106774484758	0.0010736196319018	0.0006986899563318	0.0008311235999525
K00032	1.867169557667532e-05	0.0	0.0	3.3823778116015554e-05	0.0	3.067484662576687e-05	0.0	0.0
K00033	0.0006721810407603	0.0005364943923562	0.0004996853832771	0.0007441231185523	0.0004033574707565	0.0006134969325153	0.0001746724890829	0.0005145050856848
K00034	0.0003174188248034	0.0002043788161357	0.0001295480623311	0.0003044140030441	9.603749303728177e-05	0.0003374233128834	0.0001746724890829	0.0001187319428503
K00035	9.335847788337658e-05	2.554735201696344e-05	3.70137320946071e-05	3.3823778116015554e-05	1.920749860745636e-05	0.0	0.0	0.0
K00036	0.000802882909797	0.0006131364484071	0.0005922197135137	0.0006764755623203	0.0008067149415131	0.0008895705521472	0.0006986899563318	0.0007123916571021
