	Element	Relevance	cycle	Pathway	pathway name	gene	gene_name	key_gene	energyRole	biogeoSubstrate	Metal	KO	References					Legenda	Legenda
256	Sulfur	Biogeochemistry	Sulfur	DMSORed	DMSO reduction, DMSO -> DMS (dms or dorA)	dmsA	anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3]	yes	A	DMSO	Mo	K07306							
257	Sulfur	Biogeochemistry	Sulfur	DMSORed	DMSO reduction, DMSO -> DMS (dms or dorA)	dmsB	anaerobic dimethyl sulfoxide reductase subunit B	yes	A	DMSO	Mo	K07307							
258	Sulfur	Biogeochemistry	Sulfur	DMSORed	DMSO reduction, DMSO -> DMS (dms or dorA)	dmsC	anaerobic dimethyl sulfoxide reductase subunit C	yes	A	DMSO	//	K07308							
260	Sulfur	Biogeochemistry	Sulfur	DMSOx	DMS oxidation, DMS -> DMSO (ddhABC or tmm)	ddhB	dimethylsulfide dehydrogenase subunit beta	yes	D	DMS	Fe	K16965	https://www.uniprot.org/uniprotkb/Q8GPG3/entry						
262	Sulfur	Biogeochemistry	Sulfur	DMSOx	DMS oxidation, DMS -> DMSO (ddhABC or tmm)	tmm	trimethylamine monooxygenase [EC:1.14.13.148]	yes	D	DMS	FAD	K18277	https://www.uniprot.org/uniprotkb/B6BQB2/entry						
263	Sulfur	Biogeochemistry	Sulfur	SulfateRed	Dissimilatory sulfate reduction, sulfate -> sulfite (reversible) (sat and aprAB)	aprA	adenylylsulfate reductase, subunit A [EC:1.8.99.2]	yes	A	Sulfate	//	K00394							
264	Sulfur	Biogeochemistry	Sulfur	SulfateRed	Dissimilatory sulfate reduction, sulfate -> sulfite (reversible) (sat and aprAB)	aprB	adenylylsulfate reductase, subunit B [EC:1.8.99.2]	yes	A	Sulfate	//	K00395							
265	Sulfur	Biogeochemistry	Sulfur	SulfateRed	Dissimilatory sulfate reduction, sulfite -> sulfide (reversible) (dsrAB)	dsrA	dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5]	yes	A	Sulfate	Fe	K11180							
266	Sulfur	Biogeochemistry	Sulfur	SulfateRed	Dissimilatory sulfate reduction, sulfite -> sulfide (reversible) (dsrAB)	dsrB	dissimilatory sulfite reductase beta subunit [EC:1.8.99.5]	yes	A	Sulfate	Fe	K11181	https://www.uniprot.org/uniprotkb/P45575/entry						
267	Sulfur	Biogeochemistry	Sulfur	SulfateRed	Dissimilatory sulfate reduction, sulfite -> sulfide (reversible) (dsrAB)	dsrC	dissimilatory sulfite reductase M subunit [EC:1.8.5.10]	yes	A	Sulfate	//	K27187							
268	Sulfur	Biogeochemistry	Sulfur	SulfideOx	Sulfite oxidation, sulfite -> sulfate (sorB, SUOX, soeABC)	sorA	sulfite dehydrogenase (cytochrome C) [EC:1.8.2.1]	yes	D	Sulfide	Mo	K05301							
269	Sulfur	Biogeochemistry	Sulfur	SulfideOx	Sulfide oxidation	sqr	sulfide:quinone oxidoreductase [EC:1.8.5.4]	yes	D	Sulfide	//	K17218							
271	Sulfur	Biogeochemistry	Sulfur	SulfideOx	Sulfide oxidation, sulfide -> sulfur (fccAB)	fccA	cytochrome subunit of sulfide dehydrogenase	yes	D	Sulfide	Fe	K17230	https://www.uniprot.org/uniprotkb/Q06529/entry						
272	Sulfur	Biogeochemistry	Sulfur	SulfideOx	Sulfhydrogenase, (sulfide)n -> (sulfide)n-1	hydA	sulfhydrogenase subunit alpha	yes	D	Sulfide	Ni	K17993	https://www.uniprot.org/uniprotkb/E7FI44/entry						
275	Sulfur	Biogeochemistry	Sulfur	SulfideOx	Sulfhydrogenase, (sulfide)n -> (sulfide)n-1	hydB	sulfhydrogenase subunit beta (sulfur reductase)	yes	D	Sulfide	Fe	K17996	https://www.uniprot.org/uniprotkb/Q8U2E5/entry						
276	Sulfur	Biogeochemistry	Sulfur	SulfiteOx	Sulfite oxidation, sulfite -> sulfate (sorB, SUOX, soeABC)	SUOX	sulfite oxidase [EC:1.8.3.1]	yes	D	Sulfite	Fe, Mo	K00387	https://www.uniprot.org/uniprotkb/P51687/entry						
277	Sulfur	Biogeochemistry	Sulfur	SulfiteOx	Sulfite oxidation, sulfite -> sulfate (sorB, SUOX, soeABC)	soeA	sulfite dehydrogenase (quinone) subunit SoeA [EC:1.8.5.6]	yes	D	Sulfite	Mo	K21307	https://www.uniprot.org/uniprotkb/D3RNN8/entry						
278	Sulfur	Biogeochemistry	Sulfur	SulfiteOx	Sulfite oxidation, sulfite -> sulfate (sorB, SUOX, soeABC)	soeB	sulfite dehydrogenase (quinone) subunit SoeB	yes	D	Sulfite	Fe	K21308							
279	Sulfur	Biogeochemistry	Sulfur	SulfiteOx	Sulfite oxidation, sulfite -> sulfate (sorB, SUOX, soeABC)	soeC	sulfite dehydrogenase (quinone) subunit SoeC	yes	D	Sulfite	//	K21309	stabilization & anchoring						
280	Sulfur	Biogeochemistry	Sulfur	SulfiteRed	Sulfite reduction	asrC	anaerobic sulfite reductase subunit C	yes	A	Sulfite	Fe	K00385	https://www.uniprot.org/uniprotkb/P0A1Y2/entry						
281	Sulfur	Biogeochemistry	Sulfur	SulfiteRed	Sulfite reduction	asrA	anaerobic sulfite reductase subunit A	yes	A	Sulfite	Fe	K16950	https://www.uniprot.org/uniprotkb/P45575/entry						
282	Sulfur	Biogeochemistry	Sulfur	SulfiteRed	Sulfite reduction	asrB	anaerobic sulfite reductase subunit B	yes	A	Sulfite	Fe	K16951	https://www.uniprot.org/uniprotkb/P26475/entry						
283	Sulfur	Biogeochemistry	Sulfur	SulfurOx	Sulfur disproportionation, sulfur -> sulfide & sulfite	sor	sulfur oxygenase/reductase [EC:1.13.11.55]	yes	A,D	Sulfur	Fe	K16952							
284	Sulfur	Biogeochemistry	Sulfur	SulfurOx	Sulfur oxidation	sdo	sulfur dioxygenase [EC:1.13.11.18]	yes	D	Sulfur	Fe	K17725							
286	Sulfur	Biogeochemistry	Sulfur	SulfurRed	Sulfur reduction, sulfur -> sulfide (sreABC)	sreA	sulfur reductase molybdopterin subunit	yes	A	Sulfur	//	K17219							
287	Sulfur	Biogeochemistry	Sulfur	SulfurRed	Sulfur reduction, sulfur -> sulfide (sreABC)	sreB	sulfur reductase FeS subunit	yes	A	Sulfur	Fe	K17220	https://www.uniprot.org/uniprotkb/P0AC47/entry						
288	Sulfur	Biogeochemistry	Sulfur	SulfurRed	Sulfur reduction, sulfur -> sulfide (sreABC)	sreC	sulfur reductase membrane anchor	yes	A	Sulfur	//	K17221	https://www.uniprot.org/uniprotkb/P0AC44/entry						
289	Sulfur	Biogeochemistry	Sulfur	ThioDis	Thiosulfate disproportionation, thiosulfate -> sulfide & sulfite (phsABC)	PhsA/psrA	thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]	yes	A,D	Thiosulfate	Mo	K08352							
290	Sulfur	Biogeochemistry	Sulfur	ThioDis	Thiosulfate disproportionation, thiosulfate -> sulfide & sulfite (phsABC)	phsB	thiosulfate reductase electron transport protein	yes	A,D	Thiosulfate	Fe	K08353	https://www.uniprot.org/uniprotkb/P0A1I1/entry						
291	Sulfur	Biogeochemistry	Sulfur	ThioDis	Thiosulfate disproportionation, thiosulfate -> sulfide & sulfite (phsABC)	phsC	thiosulfate reductase cytochrome b subunit	yes	A,D	Thiosulfate	Fe	K08354	https://www.uniprot.org/uniprotkb/P37602/entry#structure						
292	Sulfur	Biogeochemistry	Sulfur	ThioOX	Alternative thiosulfate oxidation (doxAD)	doxA	thiosulfate dehydrogenase [quinone] small subunit [EC:1.8.5.2]	yes	D	Thiosulfate	//	K16936							
293	Sulfur	Biogeochemistry	Sulfur	ThioOX	Alternative thiosulfate oxidation (doxAD)	doxD	thiosulfate dehydrogenase [quinone] large subunit [EC:1.8.5.2]	yes	D	Thiosulfate	//	K16937							
297	Sulfur	Biogeochemistry	Sulfur	ThioOx	Thiosulfate oxidation by SOX complex, thiosulfate -> sulfate	soxC	sulfane dehydrogenase subunit SoxC	yes	D	Thiosulfate	Mo, Co	K17225							
300	Sulfur	Biogeochemistry	Sulfur	ThioOX	Alternative thiosulfate oxidation (tsdA)	tsdA	thiosulfate dehydrogenase [EC:1.8.2.2]	yes	D	Thiosulfate	Fe	K19713							
301	Sulfur	Biogeochemistry	Sulfur	ThioOx	Thiosulfate oxidation by SOX complex, thiosulfate -> sulfate	soxD	S-disulfanyl-L-cysteine oxidoreductase SoxD [EC:1.8.2.6]	yes	D	Thiosulfate	Fe	K22622	predicted						
